SubjectID,SecondarySubjectID,FilloutDate,Q1_The course was intellectually challenging_The course was intellectually challenging,Q2_The instructor:_Conveyed enthusiasm about the course,Q2_The instructor:_Was well-prepared for classes,Q2_The instructor:_Explained course material clearly,"Q2_The instructor:_Overall, was an effective teacher","Q115_In this course, I: _Found my curiosity was sparked to ask meaningful questions","Q115_In this course, I: _Felt challenged to consider subject matter from a point of view outside of my comfort zone","Q115_In this course, I: _Reflected upon and evaluated what I learned","Q115_In this course, I: _Recognized the relevance and value of the subject matter","Q115_In this course, I: _Understood how each topic fit into the course","Q115_In this course, I: _Was intellectually stimulated","Q115_In this course, I: _Used multiple resources (e.g., internet, library holdings, outside experts) to understand the course material better","Q115_In this course, I: _Found ways to apply the course content in a meaningful way","Q115_In this course, I: _Found that hands-on projects such as research, case studies, or real life activities enhanced my understanding of course concepts","Q115_In this course, I: _Set and achieved challenging goals","Q115_In this course, I: _worked with peers in or outside of class to understand course ideas or concepts","Q115_In this course, I: _Felt challenged to think critically or creatively to complete assignments rather than just regurgitate information","Q115_In this course, I: _Felt the course environment encouraged free and open expression","Q115_In this course, I: _Was asked to do an acceptable amount of work for this course","Q116_In this course, the instructor:_Provided meaningful feedback on my academic performance","Q116_In this course, the instructor:_Found ways to help students learn or work more effectively","Q116_In this course, the instructor:_Explained course material clearly and concisely","Q116_In this course, the instructor:_Encouraged student-faculty interaction outside of class (e.g., office visits, email, etc.)","Q116_In this course, the instructor:_Demonstrated humility (e.g., the willingness and ability to learn new knowledge and skills or explore alternative viewpoints)","Q116_In this course, the instructor:_Showed respect for students","Q117_Control / Motivation:_When this course began, I believed I could mater its content.","Q117_Control / Motivation:_As a rule, I put forth more effort than other students on academic work.","Q117_Control / Motivation:_I really wanted to take this course, regardless of who taught it.",Q117_Control / Motivation:_My background prepared me well for this course's requirements.,Q117_Control / Motivation:_This was a required course.,Q117_Control / Motivation:_I highly value the skills acquired in this course.,"Q118_On average, I spent about this number of hours OUTSIDE of class time each week on this course:_On average, I spent about this number of hours OUTSIDE of class time each week on this course:",Q119_The things that most helped my learning in this course were:,Q120_The things that most hindered my learning in this course were:,Q121_I have the following suggestions for improving this course:,Q122_What do you like about the instructor?,Q123_Any other comments:,"Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp",Q242_Enter your first comment question here_QPTitle,Q242_Enter your first comment question here_QPResp,Q243_Enter your second comment question here_QPTitle,Q243_Enter your second comment question here_QPResp,Q244_Enter your third comment question here_QPTitle,Q244_Enter your third comment question here_QPResp,Q245_Enter your fourth comment question here_QPTitle,Q245_Enter your fourth comment question here_QPResp,Q246_Enter your fifth comment question here_QPTitle,Q246_Enter your fifth comment question here_QPResp,Q247_Enter your sixth comment question here_QPTitle,Q247_Enter your sixth comment question here_QPResp,Q248_Enter your seventh comment question here_QPTitle,Q248_Enter your seventh comment question here_QPResp,Q249_Enter your eighth comment question here_QPTitle,Q249_Enter your eighth comment question here_QPResp,Q250_Enter your ninth comment question here_QPTitle,Q250_Enter your ninth comment question here_QPResp,Q251_Enter your tenth comment question here_QPTitle,Q251_Enter your tenth comment question here_QPResp
005164-0001,106169171,12/8/17 11:29,Agree,Agree,Agree,Agree,Agree,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Partially True,Partially True,Partially True,Partially True,Partially True,Partially True,6-May,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/3/17 23:09,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Partially True,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,2-Jan,Dr. Bentons website for our class,waking up early,none,devotes time to students,great teacher,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 10:40,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,D/A,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 10:42,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Neutral,Neutral,Neutral,Neutral,Definitely True,Partially True,4-Mar,Group projects and hands&ndash;on task,Too much freedom. easily distracted,Have students engage with professor during class to improve learning,Professor is relatable and very knowledgable on subjects taught,N/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 10:25,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Occasionally,Occasionally,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost always,Sometimes,Almost always,Almost always,Almost always,Almost always,Almost always,Neutral,Neutral,Neutral,Neutral,Definitely True,Definitely True,4-Mar,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/3/17 16:10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Definitely True,Neutral,Partially True,Partially True,Definitely True,Definitely True,6-May,D/A,D/A,D/A,Motivated me to want to learn more and improve my skills,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/8/17 11:17,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Almost always,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Definitely True,Partially True,Partially True,Neutral,Partially True,Partially True,4-Mar,online tutorials ,offline tutorials ,Improve the structure of the course and website,He is relatable and realistic,n/a,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 11:44,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Sometimes,Frequently,Occasionally,Frequently,Occasionally,Sometimes,Frequently,Frequently,Almost always,Frequently,Sometimes,Frequently,Almost always,Sometimes,Sometimes,Frequently,Frequently,Hardly ever,Sometimes,Frequently,Partially True,Partially True,Partially True,Partially True,Definitely True,Partially True,2-Jan,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 10:38,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,6-May,online resources and morgan's helpfulness,D/A,D/A,relatability,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
005164-0001,106169171,12/6/17 10:26,Agree,Strongly Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Almost always,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Occasionally,Sometimes,Almost always,Partially True,Neutral,Partially False,Partially True,Definitely True,Partially True,2-Jan,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
